DATE,SURVERSE,FS_dist,SS_dist,FS_sum,FS_max,FS_max3,SS_sum,SS_max,SS_max3
2013-05-01,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-02,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-04,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-05,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-06,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-07,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-08,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-09,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,19.0,19.0,19.0
2013-05-10,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,20.0,20.0,20.0
2013-05-11,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,190.0,60.0,150.0
2013-05-12,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,10.0,10.0,10.0
2013-05-13,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-14,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-15,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,10.0,10.0,10.0
2013-05-16,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-17,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-18,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-19,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-20,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,90.0,50.0,70.0
2013-05-21,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,50.0,30.0,30.0
2013-05-22,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,240.0,80.0,130.0
2013-05-24,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,70.0,20.0,30.0
2013-05-25,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,98.0,30.0,70.0
2013-05-26,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,159.0,30.0,60.0
2013-05-27,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29,1,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,50.0,30.0,30.0
2013-05-30,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,30.0,20.0,30.0
2013-06-02,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,140.0,80.0,110.0
2013-06-03,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-04,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,30.0,20.0,20.0
2013-06-07,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,150.0,31.0,70.0
2013-06-08,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,50.0,19.0,29.0
2013-06-09,0,0.14998662940814203,0.1682949955243409,0.0,0.0,0.0,10.0,10.0,10.0
